chord_name,key1,key2,key3,key4
C,C1,E1,G2,
D,D1,F#2,A2,
E,E1,G2,B2,
F,F2,A2,C2,
G,G2,B2,D2,
A,A2,C#2,E2,
B,B1,D1,F#2,
C7,C1,E1,G2,A#2
C#m,C#1,E1,G#2,
