note,x,y
F1,45,300
F#1,95,250
G1,120,300
G#1,160,150
A1,195,300
A#1,235,150
B1,270,300
C1,345,300
C#1,382,150
D1,420,300
D#1,460,150
E1,495,300
F2,570,300
F#2,605,150
G2,645,300
G#2,681,150
A2,720,300
A#2,755,150
B2,795,300
C2,870,300
C#2,900,150
D2,945,300
D#2,980,150
E2,1020,300
